,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
162,001510,SK증권,6.0,87.5,1523.0,0.34,2,0.38
163,285130,SK케미칼,2072.0,24.28,110405.0,0.46,650,1.29
164,017670,SK텔레콤,4954.0,11.1,53545.0,1.03,3540,6.44
165,063440,SM Life Design,103.0,13.43,1239.0,1.12,0,0.0
166,003570,SNT다이내믹스,2212.0,10.04,31290.0,0.71,700,3.15
167,064960,SNT모티브,6579.0,7.15,72007.0,0.65,1600,3.4
168,100840,SNT에너지,1252.0,9.74,15209.0,0.8,900,7.38
169,036530,SNT홀딩스,6041.0,3.68,73929.0,0.3,800,3.6
170,067160,SOOP,6874.0,16.19,27160.0,4.1,850,0.76
171,005610,SPC삼립,6197.0,8.38,51697.0,1.0,1700,3.28
172,465770,STX그린로지스,201.0,60.75,4260.0,2.87,0,0.0
173,077970,STX엔진,167.0,131.74,9391.0,2.34,0,0.0
174,289080,SV인베스트먼트,65.0,28.83,1322.0,1.42,20,1.07
175,084870,TBH글로벌,323.0,4.51,3022.0,0.48,100,6.87
176,032540,TJ미디어,337.0,16.02,6177.0,0.87,320,5.93
177,022220,TKG애강,105.0,10.34,1932.0,0.56,0,0.0
178,069260,TKG휴켐스,3512.0,5.31,21904.0,0.85,1000,5.36
179,007980,TP,130.0,11.15,4274.0,0.34,35,2.41
180,246690,TS인베스트먼트,258.0,4.24,2029.0,0.54,10,0.91
181,002900,TYM,1390.0,2.38,8938.0,0.37,160,4.84
182,057030,YBM넷,313.0,12.3,3196.0,1.2,150,3.9
183,037270,YG PLUS,340.0,8.51,2564.0,1.13,0,0.0
184,051390,YW,622.0,5.9,9444.0,0.39,200,5.45
185,052220,iMBC,90.0,32.39,2544.0,1.15,0,0.0
186,079940,가비아,1241.0,11.14,11137.0,1.24,80,0.58
187,000500,가온전선,2907.0,13.76,46434.0,0.86,0,0.0
188,399720,가온칩스,552.0,103.08,5398.0,10.54,0,0.0
189,036620,감성코퍼레이션,268.0,12.95,859.0,4.04,0,0.0
190,000860,강남제비스코,2541.0,9.8,93917.0,0.27,500,2.01
191,035250,강원랜드,1681.0,8.84,18141.0,0.82,930,6.26
192,114190,강원에너지,168.0,70.18,1494.0,7.89,0,0.0
193,011420,갤럭시아에스엠,97.0,20.39,2713.0,0.73,0,0.0
194,039240,경남스틸,317.0,9.2,3999.0,0.73,120,4.12
195,002100,경농,1059.0,9.04,13544.0,0.71,450,4.7
196,009450,경동나비엔,5753.0,12.43,40448.0,1.77,550,0.77
197,267290,경동도시가스,5196.0,3.69,71387.0,0.27,875,4.56
198,012320,경동인베스트,9133.0,9.38,212135.0,0.4,750,0.88
199,214390,경보제약,124.0,60.0,6039.0,1.23,50,0.67
200,009140,경인전자,4445.0,4.84,54237.0,0.4,350,1.63
201,024910,경창산업,257.0,9.03,3777.0,0.61,50,2.16
202,013580,계룡건설,5334.0,2.85,90108.0,0.17,400,2.64
203,002140,고려산업,137.0,19.71,4348.0,0.62,25,0.93
204,049720,고려신용정보,846.0,12.09,3279.0,3.12,380,3.71
205,010130,고려아연,26139.0,20.35,451351.0,1.18,15000,2.82
206,002240,고려제강,2859.0,6.75,67120.0,0.29,350,1.81
207,098460,고영,328.0,34.02,4654.0,2.4,140,1.25
208,215000,골프존,12973.0,5.36,68089.0,1.02,4500,6.47
209,121440,골프존뉴딘홀딩스,891.0,4.28,16929.0,0.23,167,4.38
210,366030,공구우먼,445.0,10.42,2925.0,1.58,120,2.59
211,009290,광동제약,913.0,7.03,13588.0,0.47,100,1.56
212,014200,광림,203.0,4.96,1843.0,0.55,0,0.0
213,017040,광명전기,239.0,7.87,2838.0,0.66,10,0.53
214,029480,광무,162.0,23.52,2378.0,1.6,0,0.0
215,037710,광주신세계,6065.0,4.85,102953.0,0.29,2200,7.48
216,030610,교보증권,843.0,6.09,16632.0,0.31,250,4.87
217,339770,교촌에프앤비,574.0,14.81,7475.0,1.14,300,3.53
218,053270,구영테크,736.0,3.33,4086.0,0.6,50,2.04
219,007690,국도화학,921.0,35.83,100047.0,0.33,1200,3.64
220,066620,국보디자인,4084.0,4.07,31855.0,0.52,400,2.41
221,006050,국영지앤엠,23.0,76.83,1439.0,1.23,10,0.57
222,307750,국전약품,98.0,53.88,1965.0,2.69,10,0.19
223,453450,그리드위즈,922.0,38.07,11848.0,2.96,0,0.0
224,204020,그리티,424.0,6.67,3802.0,0.74,100,3.53
225,402490,그린리소스,388.0,51.93,6248.0,3.23,0,0.0
226,083420,그린케미칼,144.0,46.53,5160.0,1.3,230,3.43
227,014530,극동유화,439.0,8.68,6020.0,0.63,200,5.25
228,014280,금강공업,1458.0,3.36,14331.0,0.34,120,2.45
229,053260,금강철강,281.0,17.6,7818.0,0.63,130,2.63
230,282720,금양그린파워,1695.0,6.96,8935.0,1.32,300,2.54
231,002990,금호건설,31.0,116.77,13006.0,0.28,0,0.0
232,011780,금호석유,16727.0,7.73,221466.0,0.58,2900,2.24
233,073240,금호타이어,549.0,8.64,4401.0,1.08,0,0.0
234,036190,금화피에스시,6435.0,4.29,55933.0,0.49,1300,4.71
235,420770,기가비스,2752.0,15.73,16773.0,2.58,800,1.85
236,035460,기산텔레콤,223.0,8.22,2664.0,0.69,0,0.0
237,092440,기신정기,150.0,17.93,8601.0,0.31,150,5.58
238,000270,기아,22168.0,4.66,117495.0,0.88,5600,5.43
239,024110,기업은행,3162.0,4.45,39698.0,0.35,984,7.0
240,013700,까뮤이앤씨,58.0,24.03,1908.0,0.73,20,1.43
241,121600,나노신소재,1489.0,58.9,19951.0,4.4,250,0.29
242,417010,나노팀,259.0,52.63,2600.0,5.24,0,0.0
243,051490,나라엠앤디,640.0,7.32,7218.0,0.65,70,1.49
244,190510,나무가,1455.0,8.65,9272.0,1.36,0,0.0
245,089600,나스미디어,1478.0,12.16,18833.0,0.95,700,3.9
246,293580,나우IB,21.0,50.57,999.0,1.06,18,1.69
247,130580,나이스디앤비,674.0,7.23,5889.0,0.83,182,3.73
248,036800,나이스정보통신,3311.0,5.81,36792.0,0.52,730,3.79
249,267320,나인테크,217.0,12.1,1758.0,1.49,0,0.0
250,001260,남광토건,610.0,10.95,11506.0,0.58,0,0.0
251,025860,남해화학,250.0,26.92,10642.0,0.63,60,0.89
252,111710,남화산업,858.0,5.82,8729.0,0.57,200,4.0
253,253590,네오셈,219.0,47.85,2101.0,4.99,30,0.29
