종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"166090","하나머티리얼즈","39000","-1400","-3.47","1752","22.26","3118","12.51","20476","1.90","200","0.51"
"136480","하림","2840","15","0.53","123","23.09",,,"2898","0.98","30","1.06"
"003380","하림지주","5670","10","0.18","384","14.77",,,"28683","0.20","120","2.12"
"450330","하스","12410","-520","-4.02","303","40.96",,,"2537","4.89","0","0.00"
"101670","하이드로리튬","3220","20","0.63",,,,,"1709","1.88","0","0.00"
"365590","하이딥","1053","17","1.64",,,,,"107","9.84","0","0.00"
"149980","하이로닉","7440","60","0.81","430","17.30",,,"4380","1.70","0","0.00"
"013030","하이록코리아","28400","800","2.90","3687","7.70","3926","7.23","32055","0.89","1050","3.70"
"126700","하이비젼시스템","20250","250","1.25","3483","5.81","3882","5.22","18323","1.11","500","2.47"
"106080","하이소닉","4735","175","3.84",,,,,"771","6.14","0","0.00"
"450050","하이제8호스팩","2125","-30","-1.39",,,,,,,"0","0.00"
"160190","하이젠알앤엠","12170","80","0.66","109","111.65",,,"1858","6.55","0","0.00"
"221840","하이즈항공","2015","-10","-0.49",,,,,"2598","0.78","0","0.00"
"106190","하이텍팜","16560","90","0.55","760","21.79",,,"10069","1.64","100","0.60"
"065650","하이퍼코퍼레이션","1337","35","2.69",,,,,"644","2.08","0","0.00"
"066130","하츠","5650","50","0.89","501","11.28",,,"8477","0.67","90","1.59"
"004590","한국가구","3815","55","1.46","793","4.81",,,"11512","0.33","175","4.59"
"039340","한국경제TV","5390","-50","-0.92","504","10.69",,,"8245","0.65","160","2.97"
"034950","한국기업평가","86500","-200","-0.23","4570","18.93",,,"23840","3.63","5131","5.93"
"222980","한국맥널티","3990","10","0.25",,,,,"3112","1.28","0","0.00"
"256840","한국비엔씨","6420","-330","-4.89","388","16.55",,,"3157","2.03","0","0.00"
"219750","한국비티비","967","0","0.00",,,,,"41","23.59","0","0.00"
"025550","한국선재","3075","25","0.82",,,,,"5477","0.56","0","0.00"
