선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,고4,HBP,희플,희타,병살,도실,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,볼넷%,삼진%,볼/삼,ISO,타수/홈런,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA,WAR
김주현      ,롯데  ,8,17,16,4,4,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0.25,0.294,0.25,0.544,0.262,-0.1,5.9,35.3,0.17,0,,0.544,1.25,2.81,0.91,2.81,0,0.262,-1.18,-0.1
정민규      ,한화  ,6,17,16,2,1,1,0,0,0,0,0,0,1,0,1,0,1,6,0,0,0.125,0.176,0.188,0.364,0.174,-0.23,5.9,35.3,0.17,0.063,,0.364,0.38,0.68,-0.46,-0.52,0,0.174,-2.55,-0.23
손성빈      ,롯데  ,20,22,19,6,6,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0.316,0.409,0.316,0.725,0.356,0.15,13.6,27.3,0.5,0,,0.725,2.77,5.75,3.07,4.04,0,0.356,0.36,0.15
남태혁      ,SSG   ,12,22,20,6,4,1,0,1,0,1,0,0,1,0,2,4,1,7,0,0,0.3,0.364,0.5,0.864,0.385,0.14,4.6,31.8,0.14,0.2,20,0.864,3.35,6.03,3.64,-0.52,0,0.385,0.94,0.14
강상원      ,한화  ,35,49,37,4,4,0,0,0,0,1,0,2,0,0,7,2,9,11,3,0,0.108,0.298,0.108,0.406,0.243,-0.25,18.4,22.4,0.82,0,,0.406,2.63,2.03,1.79,6.74,0.59,0.243,-4.24,-0.25
문상철      ,KT    ,53,106,96,21,13,6,0,2,0,2,0,0,1,0,14,16,8,33,2,0,0.219,0.292,0.344,0.636,0.294,-0.26,7.6,31.1,0.24,0.125,48,0.636,10.37,3.68,8.82,4.91,0.39,0.294,-4.22,-0.26
김웅빈      ,Hero  ,97,279,232,56,36,13,1,6,2,9,2,4,2,1,24,35,34,73,1,0,0.241,0.357,0.384,0.741,0.344,1.02,12.2,26.2,0.47,0.143,38.67,0.741,35.29,5.21,35.9,3.7,-0.29,0.344,1.59,1.02
박준영      ,NC    ,111,315,273,57,40,7,2,8,0,10,2,5,9,3,37,31,27,92,4,0,0.209,0.301,0.337,0.638,0.299,0.12,8.6,29.2,0.29,0.128,34.13,0.638,27.77,3.22,27.42,4.23,-0.62,0.299,-11.32,0.12
지시완      ,롯데  ,73,187,166,40,24,9,0,7,0,5,0,2,6,0,23,26,14,54,0,0,0.241,0.319,0.422,0.741,0.335,1.05,7.5,28.9,0.26,0.181,23.71,0.741,21.53,4.34,22.43,1.43,-0.02,0.335,-0.57,1.05
김석환      ,KIA   ,5,20,19,5,4,0,0,1,0,1,0,0,0,0,1,3,0,7,0,0,0.263,0.3,0.421,0.721,0.321,-0.01,0,35,0,0.158,19,0.721,2.48,4.78,2.15,1.81,0,0.321,-0.3,-0.01
전민재      ,두산  ,9,5,4,1,1,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0.25,0.2,0.25,0.45,0.184,-0.06,0,40,0,0,,0.45,0.34,2.3,-0.09,6.81,0,0.184,-0.7,-0.06
이성열      ,한화  ,46,140,119,25,15,8,0,2,0,1,2,2,2,0,15,20,18,36,1,0,0.21,0.314,0.328,0.642,0.304,-0.34,12.9,25.7,0.5,0.118,59.5,0.642,13.77,3.79,12.83,3.23,0.19,0.304,-4.38,-0.34
이원석      ,한화  ,43,130,114,20,17,1,1,1,0,2,2,6,1,2,12,9,8,43,4,0,0.175,0.238,0.228,0.466,0.224,-0.96,6.2,33.1,0.19,0.053,114,0.466,7.13,1.87,2.41,6.66,-0.14,0.224,-13.58,-0.96
이영빈      ,LG    ,71,168,148,36,25,9,0,2,0,3,2,3,1,3,21,16,14,51,6,0,0.243,0.317,0.345,0.662,0.308,-0.09,8.3,30.4,0.28,0.102,74,0.662,17.62,4,16.07,5.36,-0.2,0.308,-4.59,-0.09
최정        ,SSG   ,134,555,436,121,68,17,1,35,3,22,12,13,9,6,92,100,84,102,8,0,0.278,0.41,0.562,0.972,0.425,6.83,15.1,18.4,0.82,0.284,12.46,0.972,108.03,8.5,112.36,4.11,-1.24,0.425,44.11,6.83
이성곤      ,한화  ,60,206,172,46,31,12,2,1,0,3,1,2,4,3,17,24,29,52,0,0,0.267,0.38,0.378,0.758,0.358,0.51,14.1,25.2,0.56,0.111,172,0.758,25.68,5.14,29.19,3.39,-1.41,0.358,3.85,0.51
오윤석      ,롯데  ,33,76,69,16,7,7,0,2,1,0,0,0,2,0,9,5,7,21,2,0,0.232,0.303,0.42,0.723,0.318,0.04,9.2,27.6,0.33,0.188,34.5,0.723,8.73,4.29,7.94,3.45,0.39,0.318,-1.41,0.04
오윤석      ,KT    ,64,122,95,24,18,4,0,2,0,2,0,5,2,0,14,12,20,26,2,0,0.253,0.393,0.358,0.751,0.364,0.67,16.4,21.3,0.77,0.105,47.5,0.751,15.64,5.41,17.88,3.27,0.38,0.364,2.87,0.67
박동원      ,Hero  ,131,481,413,103,60,21,0,22,0,7,3,8,12,0,61,83,53,114,2,0,0.249,0.342,0.46,0.802,0.36,2.84,11,23.7,0.46,0.211,18.77,0.802,66.25,5.42,68.78,2.49,0.35,0.36,9.63,2.84
이재원      ,LG    ,62,171,154,38,27,6,0,5,0,2,1,1,2,1,22,17,14,48,5,0,0.247,0.316,0.383,0.699,0.319,0.14,8.2,28.1,0.29,0.136,30.8,0.699,19.81,4.46,18.11,4.73,0.52,0.319,-2.92,0.14
오재일      ,삼성  ,120,484,418,119,74,20,0,25,8,0,8,8,5,0,64,97,58,106,1,0,0.285,0.366,0.512,0.878,0.38,2.77,12,21.9,0.55,0.227,16.72,0.878,82.45,7.14,78.15,3.01,0.15,0.38,18.62,2.77
박석민      ,NC    ,59,205,171,44,26,8,0,10,1,2,2,5,8,0,27,41,27,43,0,0,0.257,0.361,0.48,0.841,0.375,1.48,13.2,21,0.63,0.223,17.1,0.841,29.18,5.63,32.07,0.57,-0.02,0.375,6.86,1.48
백용환      ,한화  ,36,95,81,12,7,1,0,4,0,3,0,2,4,0,10,4,9,24,0,0,0.148,0.258,0.309,0.567,0.268,-0.24,9.5,25.3,0.38,0.161,20.25,0.567,6.14,2.21,5.57,0.94,-0.01,0.268,-6.11,-0.24
이형종      ,LG    ,90,281,239,52,31,11,0,10,1,7,0,1,10,1,32,34,34,65,3,0,0.218,0.332,0.389,0.721,0.334,0.44,12.1,23.1,0.52,0.171,23.9,0.721,30.78,4.18,33.4,2.14,0.11,0.334,-1.15,0.44
한승택      ,KIA   ,82,239,203,44,34,7,0,3,0,3,0,4,6,0,17,16,28,61,0,0,0.217,0.321,0.296,0.617,0.299,0.54,11.7,25.5,0.46,0.079,67.67,0.617,20.33,3.25,20.91,1.15,-0.03,0.299,-8.48,0.54
한석현      ,LG    ,16,26,21,6,3,2,1,0,0,1,1,1,1,0,5,1,3,7,2,0,0.286,0.385,0.476,0.861,0.382,0.22,11.5,26.9,0.43,0.19,,0.861,4.37,6.94,4.25,11.26,0.4,0.382,1.05,0.22
최정용      ,KIA   ,53,65,52,10,9,1,0,0,0,0,1,4,1,0,7,2,9,16,2,0,0.192,0.306,0.212,0.518,0.266,-0.17,13.8,24.6,0.56,0.02,,0.518,4.63,2.66,3.73,4.01,0.39,0.266,-4.27,-0.17
나승엽      ,롯데  ,60,128,113,23,19,2,0,2,0,0,1,1,1,0,16,10,14,33,1,0,0.204,0.289,0.274,0.563,0.271,-0.48,10.9,25.8,0.42,0.07,56.5,0.563,10.1,2.96,7.96,4.08,0.19,0.271,-7.78,-0.48
로맥        ,SSG   ,107,421,355,80,49,11,0,20,1,4,3,3,9,0,55,52,59,82,1,0,0.225,0.34,0.425,0.765,0.348,1.12,14,19.5,0.72,0.2,17.75,0.765,53.97,5.08,55.65,2.48,0.15,0.348,3.88,1.12
김민하      ,한화  ,46,142,115,24,18,4,1,1,0,8,2,2,3,3,14,17,17,36,6,0,0.209,0.345,0.287,0.632,0.314,-0.03,12,25.4,0.47,0.078,115,0.632,13.35,3.64,14.34,5.43,-0.2,0.314,-3.13,-0.03
